time,value
2022-10-04T09:43:02.99Z,37
2022-10-04T09:43:45.061Z,37
2022-10-04T09:43:49.213Z,36
2022-10-04T09:43:51.069Z,35
2022-10-04T09:44:39.122Z,34
2022-10-04T09:44:48.963Z,33
2022-10-04T09:45:07.074Z,32
2022-10-04T09:45:23.79Z,33
2022-10-04T09:45:31.843Z,32
2022-10-04T09:45:41.723Z,31
2022-10-04T09:46:22.531Z,30
2022-10-04T09:47:04.819Z,31
2022-10-04T09:47:10.065Z,32
2022-10-04T09:47:33.994Z,31
2022-10-04T09:47:43.752Z,30
2022-10-04T09:47:46.597Z,29
2022-10-04T09:47:51.722Z,28
2022-10-04T09:47:58.28Z,29
2022-10-04T09:48:03.468Z,28
2022-10-04T09:48:22.936Z,27
2022-10-04T09:48:27.689Z,28
2022-10-04T09:48:37.951Z,29
2022-10-04T09:48:40.831Z,28
2022-10-04T09:48:48.643Z,29
2022-10-04T09:49:13.985Z,30
2022-10-04T09:49:19.675Z,31
2022-10-04T09:49:28.395Z,32
2022-10-04T09:49:31.22Z,33
2022-10-04T09:49:39.685Z,34
2022-10-04T09:49:48.118Z,35
2022-10-04T09:49:53.772Z,36
2022-10-05T06:35:43.515Z,67
2022-10-05T06:38:02.864Z,68
2022-10-05T06:38:06.109Z,67
2022-10-05T06:38:14.618Z,68
2022-10-05T06:38:17.782Z,67
2022-10-05T06:38:20.953Z,68
2022-10-05T06:38:27.097Z,67
2022-10-05T06:38:35.667Z,68
2022-10-05T06:38:44.242Z,67
2022-10-05T06:38:50.094Z,68
2022-10-05T06:38:53.275Z,67
2022-10-05T06:38:59.412Z,68
2022-10-05T06:39:44.678Z,69
2022-10-05T06:39:47.855Z,68
2022-10-05T06:41:02.857Z,69
2022-10-05T06:41:17.03Z,68
2022-10-05T06:41:20.118Z,69
2022-10-05T06:41:23.282Z,68
2022-10-05T06:41:26.442Z,69
2022-10-05T06:41:29.634Z,68
2022-10-05T06:43:03.263Z,69
2022-10-05T06:43:43.134Z,70
2022-10-05T06:43:45.874Z,69
2022-10-05T06:43:53.065Z,70
2022-10-05T06:43:55.774Z,69
2022-10-05T06:44:58.184Z,69
2022-10-05T06:46:01.975Z,70
2022-10-05T06:48:08.536Z,71
2022-10-05T06:48:11.333Z,70
2022-10-05T06:48:17.688Z,70
2022-10-05T06:49:01.8Z,71
2022-10-05T06:49:05.598Z,70
2022-10-05T06:49:12.96Z,70
2022-10-05T06:49:18.813Z,70
2022-10-05T06:49:25.709Z,163
2022-10-05T06:49:33.119Z,70
2022-10-05T06:51:55.959Z,69
2022-10-05T06:52:30.702Z,70
2022-10-05T06:52:37.986Z,69
2022-10-05T06:52:40.767Z,70
2022-10-05T06:52:53.175Z,69
2022-10-05T06:52:55.911Z,70
2022-10-05T06:53:00.932Z,69
2022-10-05T06:53:03.73Z,70
2022-10-05T06:53:25.178Z,69
2022-10-05T06:54:38.888Z,70
2022-10-05T06:54:42.57Z,69
2022-10-05T06:54:46.269Z,70
2022-10-05T06:57:24.48Z,69
2022-10-05T06:57:55.594Z,70
2022-10-05T06:57:59.26Z,69
2022-10-05T06:58:05.687Z,70
2022-10-05T06:58:09.361Z,69
2022-10-05T06:58:16.046Z,70
2022-10-05T06:58:18.773Z,69
2022-10-05T06:58:22.437Z,70
2022-10-05T06:58:32.487Z,69
2022-10-05T06:58:35.986Z,70
2022-10-05T07:04:10.065Z,71
2022-10-05T07:04:13.303Z,70
2022-10-05T07:04:16.574Z,71
2022-10-05T07:06:36.759Z,70
2022-10-05T07:07:51.645Z,71
2022-10-05T07:10:41.9Z,71
2022-10-05T07:11:30.207Z,70
2022-10-05T07:11:37.111Z,70
2022-10-05T07:11:40.31Z,163
2022-10-05T07:11:45.693Z,70
2022-10-05T07:17:10.691Z,69
2022-10-05T07:18:04.18Z,68
2022-10-05T07:18:11.709Z,69
2022-10-05T07:18:14.93Z,68
2022-10-05T07:18:18.162Z,69
2022-10-05T07:18:55.801Z,68
2022-10-05T07:18:59.553Z,69
2022-10-05T07:19:02.836Z,68
2022-10-05T07:19:06.071Z,69
2022-10-05T07:20:08.296Z,68
2022-10-05T07:20:25.556Z,67
2022-10-05T07:20:46.048Z,66
2022-10-05T07:21:53.028Z,67
2022-10-05T07:23:04.405Z,66
2022-10-05T07:23:07.512Z,67
2022-10-05T07:23:10.727Z,66
2022-10-05T07:24:01.824Z,67
2022-10-05T07:24:53.215Z,66
2022-10-05T07:25:07.323Z,65
2022-10-05T07:25:15.977Z,66
2022-10-05T07:25:57.578Z,65
2022-10-05T07:27:43.23Z,64
2022-10-05T07:27:56.273Z,65
2022-10-05T07:29:27.659Z,64
2022-10-05T07:29:56.83Z,65
2022-10-05T07:30:37.137Z,64
2022-10-05T07:31:07.946Z,65
2022-10-05T07:32:00.866Z,64
2022-10-05T07:32:44.336Z,65
2022-10-05T07:32:59.426Z,64
2022-10-05T07:33:34.483Z,63
2022-10-05T07:35:12.55Z,64
2022-10-05T07:35:30.902Z,63
2022-10-05T07:35:46.653Z,64
2022-10-05T07:36:15.277Z,63
2022-10-05T07:36:26.961Z,64
2022-10-05T07:36:38.902Z,63
2022-10-05T07:36:48.133Z,62
2022-10-05T07:37:11.33Z,63
2022-10-05T07:37:23.178Z,62
2022-10-05T07:37:29.726Z,63
2022-10-05T07:39:10.025Z,64
2022-10-05T07:39:58.281Z,63
2022-10-05T07:40:15.228Z,64
2022-10-05T07:41:48.021Z,65
2022-10-05T07:42:33.451Z,66
2022-10-05T07:42:37.274Z,65
2022-10-05T07:42:41.085Z,66
2022-10-05T07:42:48.146Z,65
2022-10-05T07:42:55.252Z,66
2022-10-05T07:43:11.158Z,65
2022-10-05T07:44:16.529Z,64
2022-10-05T07:44:48.621Z,63
2022-10-05T07:45:10.026Z,64
2022-10-05T07:50:32.592Z,63
2022-10-05T07:50:36.38Z,64
2022-10-05T07:50:52.412Z,63
2022-10-05T07:51:22.166Z,62
2022-10-05T07:51:56.479Z,61
2022-10-05T07:51:59.719Z,62
2022-10-05T07:52:02.955Z,61
2022-10-05T07:52:43.213Z,60
2022-10-05T07:53:06.937Z,59
2022-10-05T07:53:46.694Z,60
2022-10-05T07:53:59.622Z,61
2022-10-05T07:57:13.222Z,60
2022-10-05T07:57:16.496Z,59
2022-10-05T07:57:32.698Z,58
2022-10-05T07:57:42.444Z,59
2022-10-05T07:57:49.489Z,58
2022-10-05T07:58:00.889Z,59
2022-10-05T07:58:11.192Z,58
2022-10-05T07:58:33.167Z,57
2022-10-05T07:59:00.087Z,56
2022-10-05T07:59:12.753Z,55
2022-10-05T07:59:20.573Z,56
2022-10-05T07:59:33.266Z,55
2022-10-05T07:59:45.114Z,56
2022-10-05T07:59:58.621Z,55
2022-10-05T08:00:04.584Z,54
2022-10-05T08:00:59.558Z,53
2022-10-05T08:01:05.488Z,52
2022-10-05T08:01:19.836Z,51
2022-10-05T08:02:02.971Z,50
2022-10-05T08:02:06.687Z,51
2022-10-05T08:02:38.06Z,50
2022-10-05T08:02:53.629Z,51
2022-10-05T08:03:05.473Z,50
2022-10-05T08:03:12.138Z,51
2022-10-05T08:03:44.362Z,50
2022-10-05T08:03:47.569Z,51
2022-10-05T08:03:50.773Z,50
2022-10-05T08:04:08.346Z,51
2022-10-05T08:04:32.865Z,52
2022-10-05T08:04:48.122Z,51
2022-10-05T08:05:00.755Z,52
2022-10-05T08:05:16.184Z,51
2022-10-05T08:05:22.248Z,52
2022-10-05T08:05:28.816Z,51
2022-10-05T08:05:51.95Z,50
2022-10-05T08:05:57.964Z,49
2022-10-05T08:06:03.983Z,50
2022-10-05T08:06:22.591Z,51
2022-10-05T08:06:31.242Z,52
2022-10-05T08:06:34.481Z,51
2022-10-05T08:06:37.44Z,52
2022-10-05T08:06:42.062Z,51
2022-10-05T08:06:48.024Z,52
2022-10-05T08:07:06.985Z,51
2022-10-05T08:07:29.578Z,50
2022-10-05T08:07:46.293Z,51
2022-10-05T08:07:56.55Z,52
2022-10-05T08:08:09.734Z,53
2022-10-05T08:08:15.687Z,52
2022-10-05T08:08:32.385Z,51
2022-10-05T08:08:41.302Z,52
2022-10-05T08:09:19.26Z,51
2022-10-05T08:09:22.566Z,52
2022-10-05T08:09:39.981Z,53
2022-10-05T08:09:50.789Z,52
2022-10-05T08:09:56.712Z,51
2022-10-05T08:10:11.319Z,52
2022-10-05T08:10:38.768Z,51
2022-10-05T08:11:27.701Z,52
2022-10-05T08:11:49.661Z,53
2022-10-05T08:11:58.796Z,54
2022-10-05T08:12:04.708Z,53
2022-10-05T08:12:13.901Z,54
2022-10-05T08:12:16.075Z,55
2022-10-05T08:12:29.331Z,54
2022-10-05T08:12:35.27Z,53
2022-10-05T08:12:38.482Z,54
2022-10-05T08:13:03.059Z,55
2022-10-05T08:13:08.953Z,56
2022-10-05T08:13:22.586Z,57
2022-10-05T08:13:25.843Z,56
2022-10-05T08:13:42.648Z,55
2022-10-05T08:14:20.069Z,56
2022-10-05T08:14:25.945Z,55
2022-10-05T08:14:48.481Z,54
2022-10-05T08:15:00.816Z,55
2022-10-05T08:16:31.227Z,54
2022-10-05T08:16:44.055Z,53
2022-10-05T08:17:25.021Z,52
2022-10-05T08:17:46.905Z,51
2022-10-05T08:18:29.315Z,50
2022-10-05T08:18:38.145Z,49
2022-10-05T08:19:00.386Z,50
2022-10-05T08:19:06.885Z,49
