time,value
2022-10-04T09:43:02.99Z,100
2022-10-04T09:43:17.71Z,0
2022-10-04T09:43:23.294Z,100
2022-10-04T09:43:45.061Z,11
2022-10-04T09:43:46.88Z,14
2022-10-04T09:43:49.213Z,16
2022-10-04T09:43:51.069Z,17
2022-10-04T09:43:55.714Z,18
2022-10-04T09:44:01.152Z,19
2022-10-04T09:44:03.1Z,20
2022-10-04T09:44:08.181Z,21
2022-10-04T09:44:16.081Z,22
2022-10-04T09:44:19.569Z,23
2022-10-04T09:44:28.83Z,22
2022-10-04T09:44:30.8Z,23
2022-10-04T09:44:42.44Z,22
2022-10-04T09:44:44.353Z,23
2022-10-04T09:44:48.963Z,22
2022-10-04T09:44:59.141Z,23
2022-10-04T09:45:01.054Z,22
2022-10-04T09:45:12.968Z,23
2022-10-04T09:45:17.608Z,24
2022-10-04T09:45:19.597Z,23
2022-10-04T09:45:21.823Z,24
2022-10-04T09:45:36.427Z,25
2022-10-04T09:45:38.333Z,24
2022-10-04T09:45:41.723Z,25
2022-10-04T09:45:43.614Z,24
2022-10-04T09:45:46.921Z,23
2022-10-04T09:45:56.559Z,22
2022-10-04T09:45:58.385Z,23
2022-10-04T09:46:00.242Z,22
2022-10-04T09:46:02.179Z,24
2022-10-04T09:46:04.024Z,23
2022-10-04T09:46:20.26Z,22
2022-10-04T09:46:22.531Z,21
2022-10-04T09:46:24.477Z,19
2022-10-04T09:46:26.471Z,17
2022-10-04T09:46:28.36Z,13
2022-10-04T09:46:30.266Z,6
2022-10-04T09:46:31.85Z,0
2022-10-05T06:35:43.515Z,90
2022-10-05T06:35:45.44Z,89
2022-10-05T06:35:47.254Z,90
2022-10-05T06:35:52.076Z,87
2022-10-05T06:35:53.907Z,89
2022-10-05T06:35:57.095Z,1
2022-10-05T06:35:58.72Z,0
2022-10-05T06:36:38.219Z,88
2022-10-05T06:39:02.579Z,89
2022-10-05T06:39:04.383Z,88
2022-10-05T06:40:02.088Z,89
2022-10-05T06:40:03.902Z,88
2022-10-05T06:40:37.091Z,89
2022-10-05T06:40:38.937Z,88
2022-10-05T06:41:53.902Z,89
2022-10-05T06:41:55.734Z,88
2022-10-05T06:42:43.671Z,89
2022-10-05T06:42:45.488Z,88
2022-10-05T06:42:54.053Z,89
2022-10-05T06:42:55.663Z,0
2022-10-05T06:44:19.247Z,87
2022-10-05T06:44:21.003Z,88
2022-10-05T06:44:31.013Z,89
2022-10-05T06:44:34.184Z,88
2022-10-05T06:44:37.666Z,89
2022-10-05T06:44:39.518Z,92
2022-10-05T06:44:41.347Z,93
2022-10-05T06:44:52.637Z,95
2022-10-05T06:45:07.012Z,96
2022-10-05T06:45:12.878Z,97
2022-10-05T06:45:17.424Z,98
2022-10-05T06:45:30.103Z,99
2022-10-05T06:45:33.29Z,98
2022-10-05T06:45:36.458Z,99
2022-10-05T06:45:38.576Z,98
2022-10-05T06:45:49.794Z,99
2022-10-05T06:45:56.983Z,98
2022-10-05T06:46:00.145Z,99
2022-10-05T06:46:07.857Z,98
2022-10-05T06:46:19.875Z,17
2022-10-05T06:46:21.745Z,7
2022-10-05T06:46:23.58Z,3
2022-10-05T06:46:25.43Z,2
2022-10-05T06:46:27.263Z,1
2022-10-05T06:46:28.895Z,0
2022-10-05T06:46:34.093Z,1
2022-10-05T06:46:35.914Z,2
2022-10-05T06:46:37.769Z,3
2022-10-05T06:46:45.373Z,4
2022-10-05T06:46:58.032Z,7
2022-10-05T06:46:59.903Z,11
2022-10-05T06:47:03.152Z,6
2022-10-05T06:47:05.048Z,34
2022-10-05T06:47:06.885Z,15
2022-10-05T06:47:08.527Z,0
2022-10-05T06:47:53.237Z,71
2022-10-05T06:47:55.801Z,6
2022-10-05T06:47:57.657Z,45
2022-10-05T06:47:59.491Z,9
2022-10-05T06:48:01.142Z,0
2022-10-05T06:48:44.737Z,29
2022-10-05T06:48:46.571Z,100
2022-10-05T06:48:52.522Z,95
2022-10-05T06:48:54.386Z,33
2022-10-05T06:48:56.221Z,39
2022-10-05T06:48:58.093Z,38
2022-10-05T06:48:59.925Z,33
2022-10-05T06:49:01.8Z,35
2022-10-05T06:49:03.717Z,37
2022-10-05T06:49:05.598Z,38
2022-10-05T06:49:07.432Z,39
2022-10-05T06:49:22.008Z,38
2022-10-05T06:49:23.838Z,42
2022-10-05T06:49:25.709Z,35
2022-10-05T06:49:27.552Z,55
2022-10-05T06:49:29.413Z,44
2022-10-05T06:49:31.268Z,14
2022-10-05T06:49:33.119Z,13
2022-10-05T06:49:34.948Z,14
2022-10-05T06:49:36.862Z,15
2022-10-05T06:49:52.016Z,14
2022-10-05T06:49:53.876Z,17
2022-10-05T06:49:55.751Z,14
2022-10-05T06:49:57.606Z,45
2022-10-05T06:49:59.462Z,85
2022-10-05T06:50:01.33Z,3
2022-10-05T06:50:03.977Z,5
2022-10-05T06:50:08.663Z,4
2022-10-05T06:50:28.595Z,3
2022-10-05T06:51:09.442Z,2
2022-10-05T06:51:22.019Z,72
2022-10-05T06:51:23.927Z,9
2022-10-05T06:51:25.76Z,1
2022-10-05T06:51:27.611Z,2
2022-10-05T06:51:32.193Z,1
2022-10-05T06:51:55.959Z,0
2022-10-05T06:51:57.789Z,1
2022-10-05T06:51:59.419Z,0
2022-10-05T06:53:37.358Z,36
2022-10-05T06:53:39.193Z,52
2022-10-05T06:53:41.079Z,44
2022-10-05T06:53:42.915Z,41
2022-10-05T06:53:44.786Z,40
2022-10-05T06:53:48.008Z,39
2022-10-05T06:53:55.554Z,38
2022-10-05T06:53:58.74Z,46
2022-10-05T06:54:00.548Z,65
2022-10-05T06:54:02.376Z,58
2022-10-05T06:54:07.349Z,57
2022-10-05T06:54:12.365Z,72
2022-10-05T06:54:15.607Z,89
2022-10-05T06:54:17.474Z,83
2022-10-05T06:54:19.315Z,37
2022-10-05T06:54:21.448Z,15
2022-10-05T06:54:23.271Z,8
2022-10-05T06:54:25.106Z,6
2022-10-05T06:54:26.931Z,10
2022-10-05T06:54:28.795Z,5
2022-10-05T06:54:30.614Z,4
2022-10-05T06:54:32.459Z,3
2022-10-05T06:54:35.645Z,2
2022-10-05T06:54:38.888Z,3
2022-10-05T06:54:40.721Z,2
2022-10-05T06:54:44.421Z,1
2022-10-05T06:54:49.229Z,0
2022-10-05T06:55:07.88Z,5
2022-10-05T06:55:09.485Z,0
2022-10-05T06:55:11.341Z,46
2022-10-05T06:55:12.949Z,0
2022-10-05T06:55:15.948Z,45
2022-10-05T06:55:17.558Z,0
2022-10-05T06:55:27.586Z,23
2022-10-05T06:55:29.412Z,28
2022-10-05T06:55:31.278Z,41
2022-10-05T06:55:33.108Z,50
2022-10-05T06:55:34.947Z,60
2022-10-05T06:55:36.794Z,65
2022-10-05T06:55:38.63Z,68
2022-10-05T06:55:40.452Z,84
2022-10-05T06:55:42.334Z,83
2022-10-05T06:55:44.186Z,90
2022-10-05T06:55:46.059Z,89
2022-10-05T06:55:47.881Z,92
2022-10-05T06:55:51.123Z,95
2022-10-05T06:55:54.641Z,97
2022-10-05T06:55:56.506Z,96
2022-10-05T06:55:58.358Z,98
2022-10-05T06:56:11.128Z,9
2022-10-05T06:56:12.729Z,0
2022-10-05T06:56:20.368Z,78
2022-10-05T06:56:25.224Z,39
2022-10-05T06:56:27.071Z,50
2022-10-05T06:56:28.93Z,2
2022-10-05T06:56:30.537Z,0
2022-10-05T06:56:41.56Z,13
2022-10-05T06:56:43.384Z,41
2022-10-05T06:56:45.232Z,31
2022-10-05T06:56:47.088Z,9
2022-10-05T06:56:48.732Z,0
2022-10-05T06:56:56.665Z,60
2022-10-05T06:56:58.525Z,50
2022-10-05T06:57:00.413Z,51
2022-10-05T06:57:02.255Z,53
2022-10-05T06:57:04.101Z,59
2022-10-05T06:57:05.931Z,78
2022-10-05T06:57:07.784Z,14
2022-10-05T06:57:09.704Z,35
2022-10-05T06:57:11.48Z,38
2022-10-05T06:57:13.327Z,25
2022-10-05T06:57:15.181Z,75
2022-10-05T06:57:16.999Z,38
2022-10-05T06:57:18.845Z,17
2022-10-05T06:57:20.69Z,29
2022-10-05T06:57:22.555Z,30
2022-10-05T06:57:24.48Z,0
2022-10-05T06:57:47.939Z,39
2022-10-05T06:57:49.771Z,44
2022-10-05T06:57:51.62Z,42
2022-10-05T06:57:53.452Z,40
2022-10-05T06:57:55.594Z,39
2022-10-05T06:57:57.417Z,53
2022-10-05T06:57:59.26Z,60
2022-10-05T06:58:03.844Z,61
2022-10-05T06:58:07.509Z,46
2022-10-05T06:58:09.361Z,67
2022-10-05T06:58:11.196Z,78
2022-10-05T06:58:14.408Z,77
2022-10-05T06:58:16.046Z,0
2022-10-05T06:58:20.596Z,78
2022-10-05T06:58:22.437Z,86
2022-10-05T06:58:27.361Z,87
2022-10-05T06:58:29.233Z,89
2022-10-05T06:58:34.307Z,2
2022-10-05T06:58:35.986Z,0
2022-10-05T06:58:41.206Z,80
2022-10-05T06:58:43.034Z,95
2022-10-05T06:58:44.859Z,96
2022-10-05T06:58:48.02Z,95
2022-10-05T06:58:49.825Z,96
2022-10-05T06:58:51.654Z,98
2022-10-05T06:58:54.823Z,91
2022-10-05T06:58:56.967Z,5
2022-10-05T06:58:58.558Z,0
2022-10-05T06:59:00.382Z,79
2022-10-05T06:59:02.194Z,86
2022-10-05T06:59:05.389Z,85
2022-10-05T06:59:07.252Z,84
2022-10-05T06:59:09.07Z,85
2022-10-05T06:59:15.013Z,6
2022-10-05T06:59:16.643Z,0
2022-10-05T06:59:18.483Z,39
2022-10-05T06:59:20.105Z,0
2022-10-05T06:59:22.699Z,81
2022-10-05T06:59:24.553Z,86
2022-10-05T06:59:26.378Z,87
2022-10-05T06:59:29.849Z,88
2022-10-05T06:59:31.718Z,89
2022-10-05T06:59:33.546Z,95
2022-10-05T06:59:38.615Z,88
2022-10-05T06:59:43.206Z,89
2022-10-05T06:59:45.062Z,95
2022-10-05T06:59:46.875Z,98
2022-10-05T06:59:48.753Z,3
2022-10-05T06:59:50.39Z,0
2022-10-05T06:59:53.845Z,2
2022-10-05T07:00:01.494Z,1
2022-10-05T07:00:13.185Z,0
2022-10-05T07:00:15.025Z,55
2022-10-05T07:00:16.662Z,0
2022-10-05T07:02:08.982Z,33
2022-10-05T07:02:10.585Z,0
2022-10-05T07:02:15.893Z,76
2022-10-05T07:02:17.764Z,80
2022-10-05T07:02:19.595Z,87
2022-10-05T07:02:24.173Z,86
2022-10-05T07:02:25.995Z,68
2022-10-05T07:02:27.853Z,70
2022-10-05T07:02:29.459Z,0
2022-10-05T07:02:38.51Z,8
2022-10-05T07:02:40.334Z,57
2022-10-05T07:02:41.981Z,0
2022-10-05T07:02:43.799Z,29
2022-10-05T07:02:45.661Z,72
2022-10-05T07:02:47.497Z,71
2022-10-05T07:02:49.367Z,56
2022-10-05T07:02:51.193Z,54
2022-10-05T07:02:54.89Z,41
2022-10-05T07:02:56.741Z,39
2022-10-05T07:02:58.577Z,2
2022-10-05T07:03:00.217Z,0
2022-10-05T07:03:06.907Z,96
2022-10-05T07:03:08.764Z,98
2022-10-05T07:03:11.994Z,99
2022-10-05T07:03:19.722Z,24
2022-10-05T07:03:21.576Z,9
2022-10-05T07:03:23.418Z,11
2022-10-05T07:03:35.381Z,12
2022-10-05T07:03:40.06Z,11
2022-10-05T07:03:43.332Z,12
2022-10-05T07:03:45.198Z,11
