datetime,temp,humidity,dew,sealevelpressure,winddir,solarradiation,windspeed,precipprob,preciptype
01/01/2016,28.4,37.8,11.9,1016.4,147.5,216.1,16.6,0,0
02/01/2016,26.8,44.8,13,1017.2,110.3,215.7,16.6,0,0
03/01/2016,25.5,52.8,14.6,1015.7,145.3,221.1,18.4,0,0
04/01/2016,26.4,46.6,13.1,1015.3,126.9,216.2,16.6,0,0
05/01/2016,27.1,44.9,13.5,1014.4,125.5,208.1,16.6,0,0
06/01/2016,26.9,48.2,14.3,1014.2,110.2,200.8,14.8,0,0
07/01/2016,26.1,58,17,1015.1,149.4,189.9,15.8,0,0
08/01/2016,26.6,55.2,16.5,1015.4,157.7,185,13,0,0
09/01/2016,26.3,47.6,13.5,1013.8,117.5,203.1,16.6,0,0
10/01/2016,26,45.3,12.5,1014.2,124.7,203.7,16.6,0,0
11/01/2016,26.1,50.4,14.6,1014.3,153.7,212.6,24.1,0,0
12/01/2016,25.1,64.5,17.5,1013.1,200.7,201.9,16.6,0,0
13/01/2016,24.6,64,17,1012.5,195.6,211.4,16.6,0,0
14/01/2016,23.9,64.2,16.5,1012.6,158.4,209.6,25.9,0,0
15/01/2016,23.6,64.8,16.3,1012.3,193.9,210.8,16.6,0,0
16/01/2016,24.1,60.7,15.7,1011.8,162.5,201.5,13,100,1
17/01/2016,24,58.3,14.7,1011.6,154.6,187.2,16.6,0,0
18/01/2016,23.7,58.2,14.4,1011.2,141.4,220.5,16.6,0,0
19/01/2016,23.5,45.8,10.3,1012.1,180.5,228,20.5,0,0
20/01/2016,23.2,41.5,8.6,1014,155.7,239.6,32.4,0,0
21/01/2016,23.9,41.5,9.2,1014.5,120.7,232.8,18.4,0,0
22/01/2016,25.6,32.2,7.2,1014.5,128.9,234.9,18.4,0,0
23/01/2016,25.9,36.4,9.1,1014.5,115,224.2,18.4,0,0
24/01/2016,26.7,39.8,11.2,1014.5,172.7,220.8,18.4,0,0
25/01/2016,25.2,45.3,11.7,1013.7,166.1,242.7,18.4,0,0
26/01/2016,23.8,49.7,12,1013.4,174.1,239.5,22.3,0,0
27/01/2016,23.7,64.4,16.1,1013.8,208.5,240.8,18.4,0,0
28/01/2016,25.1,57,15.4,1013.2,165.7,240.4,14.8,0,0
29/01/2016,26.5,57.2,16.6,1014.2,155.9,237.3,18.4,0,0
30/01/2016,26.8,59.5,17.9,1014.2,230.7,235.6,16.6,0,0
31/01/2016,26.4,62.3,18.3,1013.3,163.8,233.9,16.6,0,0
01/02/2016,26.5,59.9,17.5,1014.1,193.7,231.2,18.4,0,0
02/02/2016,26.7,53,15.7,1014.2,247.5,244.9,16.6,0,0
03/02/2016,25.7,49.9,13.7,1013.9,184.3,257.1,16.6,0,0
04/02/2016,24.6,55.4,14.6,1013.1,164.6,252,22.3,0,0
05/02/2016,24.1,69.7,18,1012,173.6,237.6,22,0,0
06/02/2016,23.6,66.5,16.5,1012,203.5,241.4,16.6,0,0
07/02/2016,24,64.2,16.6,1014.5,247,231.7,20.5,0,0
08/02/2016,24,64.4,16.6,1013.2,172.1,251.7,18.4,0,0
09/02/2016,25.5,67.2,18.6,1012,173.5,230.1,18.4,0,0
10/02/2016,25.9,62.9,17.4,1011.9,183.5,229,18.4,0,0
11/02/2016,24.6,71,18.8,1012.5,232.3,251.2,20.5,0,0
12/02/2016,23.8,67.8,17.1,1013,189.1,252.4,20.5,0,0
13/02/2016,23.8,62.6,16,1013.6,179.3,257.2,18.4,0,0
14/02/2016,24.8,50.3,12.7,1012.7,178.1,253.1,24.1,0,0
