Temperature ,Relative Humidity ,Mood
28.94,77,HAPPY
28.79,79,HAPPY
28.59,79,HAPPY
28.47,79,HAPPY
28.4,78,HAPPY
28.45,78,HAPPY
28.5,78,HAPPY
28.69,78,HAPPY
29.18,76,HAPPY
30.49,72,SAD
31.15,70,SAD
32.27,66,SAD
32.84,63,SAD
32.99,62,SAD
32.8,63,SAD
32.51,64,SAD
32.15,65,SAD
32.05,68,SAD
31.36,70,SAD
30.59,72,SAD
30.22,74,SAD
29.96,76,HAPPY
29.74,78,HAPPY
29.59,80,HAPPY
29.24,79,HAPPY
29.03,75,HAPPY
28.97,76,HAPPY
28.9,76,HAPPY
28.83,76,HAPPY
28.85,77,HAPPY
28.94,78,HAPPY
29.59,75,HAPPY
29.47,77,HAPPY
29.38,76,HAPPY
29.22,76,HAPPY
29.46,75,HAPPY
30.24,72,SAD
30.93,69,SAD
30.74,69,SAD
30.74,68,SAD
30.94,66,SAD
31.21,67,SAD
30.68,69,SAD
30.05,73,SAD
29.7,78,HAPPY
29.52,75,HAPPY
29.38,76,HAPPY
29.31,78,HAPPY
29.12,75,HAPPY
28.96,77,HAPPY
28.88,79,HAPPY
28.79,79,HAPPY
28.71,79,HAPPY
28.64,81,HAPPY
28.86,81,HAPPY
28.87,75,HAPPY
29.42,72,HAPPY
30.27,69,SAD
31.08,67,SAD
31.91,65,SAD
32.53,64,SAD
32.92,64,SAD
33.06,64,SAD
32.83,65,SAD
31.38,72,SAD
31.74,66,SAD
30.95,68,SAD
30.25,71,SAD
29.96,73,HAPPY
29.7,76,HAPPY
29.35,76,HAPPY
29.16,74,HAPPY
29.07,75,HAPPY
28.98,76,HAPPY
28.91,78,HAPPY
28.86,81,HAPPY
28.81,82,HAPPY
28.67,79,HAPPY
28.59,81,HAPPY
29.17,79,HAPPY
30.29,74,SAD
31.19,69,SAD
31.51,67,SAD
30.98,69,SAD
30.78,72,SAD
31.89,67,SAD
32.65,62,SAD
32.57,61,SAD
32.28,63,SAD
31.85,65,SAD
31.1,68,SAD
30.26,72,SAD
29.95,74,HAPPY
29.77,76,HAPPY
29.62,78,HAPPY
29.44,80,HAPPY
29.28,80,HAPPY
29.32,80,HAPPY
29.17,82,HAPPY
28.95,81,HAPPY
28.73,79,HAPPY
28.65,80,HAPPY
28.76,82,HAPPY
29.7,77,HAPPY
30.65,72,SAD
31.51,68,SAD
32.28,66,SAD
32.88,63,SAD
32.81,62,SAD
32.76,61,SAD
33,60,SAD
32.95,60,SAD
32.61,61,SAD
31.69,68,SAD
31.01,71,SAD
30.23,75,SAD
29.83,73,HAPPY
29.54,74,HAPPY
